ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
4588917243A168CF,electric_bike,57:44.8,05:11.3,5 St & 51 Ave,6137.04,Calyer St & Jewel St,5743.02,40.7423737,-73.9566,40.72984,-73.94839,member
407E5A4A99C3473F,electric_bike,03:26.6,12:03.4,W 116 St & Broadway,7713.11,W 92 St & Broadway,7502.01,40.8082,-73.9641,40.7921,-73.9739,member
05B4412A536A9B5F,electric_bike,14:14.0,35:13.2,Halsey St & Tompkins Ave,4319.07,Park Circle & East Dr,3344.02,40.6823687,-73.944118,40.651566,-73.972212,member
4F6E39FDD689C9F3,electric_bike,16:31.0,21:03.5,E 5 St & Cooper Sq,5712.12,Broadway & E 19 St,5980.11,40.72769,-73.990993,40.73829,-73.99006,member
CC007598883BB922,electric_bike,41:48.1,44:42.8,Huron St & Franklin St,5869.04,Banker St & Meserole Ave,5633.04,40.73266,-73.95826,40.72606,-73.95621,member
C6722A8EE0922B2B,electric_bike,02:18.7,08:12.0,Columbia Heights & Cranberry St,4829.01,Amity St & Court St,4488.1,40.70037867,-73.99548059,40.68841886,-73.99314171,member
E553383B1BA90734,electric_bike,31:01.6,37:19.2,Thompson St & Bleecker St,5721.07,Barrow St & Hudson St,5805.05,40.72840059,-73.99968781,40.73172428,-74.00674436,member
C1D84455C839E07A,classic_bike,43:42.0,58:13.1,9 Ave & W 18 St,6190.08,W Broadway & Watts St,5569.07,40.74317449,-74.00366443,40.72323,-74.00314,member
EC4718BB7924AF90,electric_bike,35:12.0,45:31.3,Sullivan St & Washington Sq,5721.01,W 16 St & The High Line,6233.05,40.73047747,-73.99906065,40.74334935,-74.00681753,member
CBB38FA3B4FC978D,classic_bike,48:35.0,53:43.5,Murray St & West St,5329.08,West Thames St,5114.06,40.71503,-74.01246,40.70834698,-74.01713445,member
91D40E05E5F7CD67,electric_bike,23:58.3,28:45.6,E 11 St & 3 Ave,5788.16,1 Ave & E 18 St,5854.09,40.73127,-73.98849,40.73381219,-73.98054421,casual
171CCF1163E0AAF9,electric_bike,14:02.1,20:29.6,E 4 St & 2 Ave,5593.04,Bialystoker Pl & Delancey St,5335.03,40.7262807,-73.98978041,40.71622644,-73.98261206,member
D48E0F7F2BB1BE11,electric_bike,54:00.0,59:49.3,E 16 St & Irving Pl,5938.11,Lexington Ave & E 36 St,6313.1,40.73536706,-73.98797393,40.74757396,-73.97880077,member
32BBBC54F8E9CEAA,electric_bike,01:21.3,09:01.6,Pike St & E Broadway,5270.05,Greene St & Prince St,5602.06,40.71406667,-73.99293911,40.72511734,-73.99930492,member
558EC775F6322829,electric_bike,18:54.7,26:19.6,8 Ave & W 24 St,6224.06,E 30 St & Park Ave S,6206.08,40.74591073,-73.9980711,40.74444921,-73.98303529,casual
6D810DC2F45ECDB5,electric_bike,33:25.9,42:00.3,Lexington Ave & Classon Ave,4452.03,Brooklyn Ave & Prospect Pl,4057.04,40.68676793,-73.95928168,40.67412,-73.94447,member
6443C222B63CDB5B,electric_bike,43:04.3,52:35.1,Broadway & W 25 St,6173.08,E 10 St & 2 Ave,5746.02,40.74286877,-73.98918629,40.72970806,-73.98659796,member
AA144EF535C15B88,electric_bike,57:53.7,12:08.9,36 Ave & 10 St,6737.03,E 47 St & 2 Ave,6498.1,40.7614376,-73.9411265,40.75323098,-73.97032517,member
9F037496F55FE2CB,electric_bike,17:13.2,33:15.9,W 12 St & Hudson St,5997.1,E 22 St & 2 Ave,5971.09,40.73752993,-74.00558934,40.73716919,-73.98122549,member
78E7A062AC8A9CD9,classic_bike,16:06.7,48:03.4,Roebling St & N 4 St,5267.09,Montgomery St & Franklin Ave,3776.05,40.71469,-73.95739,40.66643931,-73.96055639,member
